id,source,source_url,price_vnd,price_billion,category,is_rent,title,description,area_m2,price_per_m2,region_name,district,ward,latitude,longitude,legal_document,bedrooms,bathrooms,floors,furnishing,property_status,seller_type,list_time,has_full_furniture,has_balcony,has_lake_view,has_city_view,has_red_book,has_car_access,has_luxury_keyword,has_new_keyword,has_corner_keyword,has_near_center
131222489,chotot_gateway,https://www.chotot.com/131222489.htm,2750000000.0,2.75,Căn hộ/Chung cư,False,"Cần tiền bán gấp 1PN+1, 47m2 Full nội thất, Hướng mát giá chỉ 2,75 tỷ","Loại căn 1PN +1 phòng đa năng Diện tích: 47m2 tim tường Giá bán gấp: 2,75 tỷ Pháp lý: Sổ hồng chính chủ Liên hệ xem nhà trực tiếp 24/7 qua sđt - Thiết kế căn hộ bao gồm 1PN +1 phòng đa năng 1WC tiện dụng; thiết kế căn hộ rất phù hợp với gia đình vợ chồng trẻ... - Đặc biệt là phòng đa năng, có thể làm phòng ngủ với giường tầng cho các bé hoặc làm phòng làm việc, phòng đọc sách thư giãn, không khác gì căn 2N. - Căn hộ có tầm view thoáng đẹp - Với không gian không quá lớn nhưng vẫn đầy đủ tiện nghi, thiết kế hiện đại, cùng hàng loạt tiện ích đẳng cấp quốc tế: * Tiện ích nội khu chuẩn quốc tế: + Hồ bơi, vườn dạo bộ, khu vui chơi trẻ em. + Khu TDTT (tennis, bóng rổ, bơi... ). + Khu BBQ ngoài trời. + Khu TTTM, nhà trẻ, gym, spa... + Phòng lánh nạn, an ninh đảm bảo 24/7...",47.0,58510638.29787234,Hà Nội,Huyện Gia Lâm,Thị trấn Trâu Quỳ,21.02097,105.93817,6,1,1,,1,2,,1778905051000,1,0,0,1,1,0,1,0,0,0
132417660,chotot_gateway,https://www.chotot.com/132417660.htm,5900000000.0,5.9,Căn hộ/Chung cư,False,"Bán căn hộ mặt phố Hàng Da, lô góc, 65m2, cho thuê hơn 20 triệu","Dự án: Thông tin chi tiết: 🍀 Căn hộ mặt phố Hàng Da - Lô góc - siêu xinh giữa Lòng Phố Cổ Thủ Đô 💰 Hơn 5 Tỷ Diện tích 65m2 x 2 phòng ngủ, 1 phòng khách. 1 bước chân là xuống Phố ẩm thực nhộn nhịp, sát Hồ Gươm - tối về ngắm Hà Nội với view ngàn sao. 📍Vị trí: Ngay Phố Hàng Da, Nguyễn Văn Tố, Đường Thành, Hàng Bông … - Cho thuê Homestay doanh thu 20 - 30 triệu/tháng ☎️ Liên hệ trực tiếp: Thuỳ Trang",65.0,90769230.76923077,Hà Nội,Quận Hoàn Kiếm,Phường Cửa Đông,21.031706,105.84598,6,2,1,,1,2,,1778904969000,0,0,1,0,0,0,0,0,1,0
132371777,chotot_gateway,https://www.chotot.com/132371777.htm,5300000000.0,5.3,Căn hộ/Chung cư,False,"CHUNG CƯ HOÀNG MAI – 80M² – 2 NGỦ 2 VS – CHỈ 5,3 TỶ","CHUNG CƯ HOÀNG MAI – 80M² – 2 NGỦ 2 VS – CHỈ 5,3 TỶ Diện tích 80m² thiết kế 2 phòng ngủ, 2 vệ sinh rộng rãi, tối ưu công năng sử dụng. Căn hộ nằm tại vị trí trung tâm quận Hoàng Mai, giao thông thuận tiện, đầy đủ tiện ích sống như trường học, chợ, siêu thị, trung tâm thương mại. Sổ đỏ chính chủ, sang tên nhanh gọn. Giá chỉ 5,3 tỷ. Liên hệ *** xem nhà trực tiếp.",80.0,66250000.0,Hà Nội,Quận Hoàng Mai,Phường Tương Mai,20.98732,105.85115,6,2,2,,3,2,,1778903882000,0,0,0,0,1,0,0,0,0,1
131246600,chotot_gateway,https://www.chotot.com/131246600.htm,8200000000.0,8.2,Căn hộ/Chung cư,False,"Bán CC 3PN, 3WC, 8.2 tỷ-158m2. CT12, KĐT Văn Phú-Hà Đông, Hà Nội","Căn hộ 2207CT12 căn góc view đẹp nhất tòa tại KĐT Văn Phú, đường Lê Trọng Tấn, ánh sáng tự nhiên trực tiếp. Tòa CT12 có 4 mặt thoáng, 4 thang máy, 3 thang bộ thoát hiểm. - 3 phòng ngủ. - 3 Vệ sinh. - Khách+ Bếp thông nhau, Bếp sát ban công chính nhiều ánh sáng sạch thoáng. - Có LÓT ô tô thuận tiện TẦNG 1 ngay cổng hầm, đẹp nhất tòa. PHÍ GỬI ô tô 1.1TR/1 tháng, phí DV 4k/1m2. - Có thiết kế thang dây thoát hiểm riêng cho căn hộ 2207 - Hướng cửa chính Tây và 2 ban công Nam, đón nắng và gió tự nhiên, 2 ban công rộng rãi. ***Giá bán 8.2Tỷ có thương lượng. Thuế Phí sang tên người mua chịu *** Nội Thất để lại: 4 Điều Hòa, Hệ thống máy lọc tổng, Bếp từ Đức 3 vùng nấu hiệu EUROSUN+ Hút mùi +Vài tranh Đá quý và tranh gỗ+2 Giá Sách lớn. Pháp lý : Sổ đỏ sang tên ngay, không có thể chấp. Tiện ích xung quanh: - Gần bệnh viện Quân y 103, Viện bỏng Quốc gia viện Nhi Hà Nội, viện Huyết học. - Các công viên An Hưng, công viên Thiên Văn Học gần kề, Công viên 365 Thành Phố. - Siêu thị Đức Thành chỉ mất vài phút di chuyển, Winmark ngay chân toàn, Coopmark cách 300m. - Cách 700m đi bộ tới trường cấp 2 - 3 Marie Curie Văn Phú. - Cách chợ Hà Đông 3km. - Cách chợ 365- công viên Thành Phố khoảng 700m. Liên hệ chính chủ căn hộ: *** Chị Bốn.",158.0,51898734.17721519,Hà Nội,Quận Hà Đông,Phường Phú La,20.9565,105.7692,6,3,3,,3,2,,1778903624000,0,1,0,1,1,1,0,0,1,1
132370538,chotot_gateway,https://www.chotot.com/132370538.htm,1200000000.0,1.2,Căn hộ/Chung cư,False,TẬP THỂ 1.2 TỶ HAI BÀ TRƯNG,"Dự án: Thông tin chi tiết: TẬP THỂ HAI BÀ TRƯNG CHỈ 1.2 TỶ Hà Nội quy hoạch chằng chịt, mua nhà đâu cũng bất an. Tập thể dù lâu năm nhưng muôn đời vẫn ở đó, là một trong nét đẹp Hà Nội E có căn TT 8/3 Hai Bà Trưng, gần bv Thanh Nhàn, các trường đại học bách khoa, kinh tế, kinh công...Time City. DT25m đủ công năng phù hợp gia đình nhỏ, hoặc nhóm sinh viên. Ban công dài cực thoáng mát oto đỗ cầu thang. Mua bán Vi bằng. Liên hệ CC : *** Tuyết",25.0,48000000.0,Hà Nội,Quận Hai Bà Trưng,Phường Quỳnh Mai,21.000063,105.85929,5,1,1,,2,2,,1778903041000,0,1,0,0,0,1,0,0,0,0
132404523,chotot_gateway,https://www.chotot.com/132404523.htm,6500000000.0,6.5,Căn hộ/Chung cư,False,"Giảm giá sốc, bán căn 103m2 CC The Pride Hà Đông","Mình chủ nhà bán căn 2228 Tòa CT1, chung cư The Pride. Liên hệ: *** * Giá bán: 6.x tỷ (thương lượng thiện chí). * Thông tin căn hộ: - Diện tích: 102,8 m². - Thiết kế: 3 phòng ngủ, 3 vệ sinh. - Pháp lý: Sổ đỏ chính chủ. - Tầng: 22, view thoáng. - Hướng: Cửa chính Tây Bắc; ban công Đông Bắc. - Nội thất hiện trạng: Căn hộ đã hoàn thiện (tủ bếp, điều hòa, bình nóng lạnh, kệ kính cường lực, sàn gỗ, ốp tường gỗ). - Căn hộ có 2 mặt thoáng, các phòng tiếp xúc ánh sáng và không khí tự nhiên. Phòng khách rộng, đón nắng sớm nhẹ nhàng; phòng ngủ thoáng mát, yên tĩnh, đón ánh trăng rằm. Hành lang rộng, có cửa sổ lấy sáng tự nhiên. Phong thủy tốt, số nhà đẹp (2228 - mãi mãi mãi phát), khí vượng. * Tiện ích nội khu The Pride: Sân chung rất rộng để tổ chức các sự kiện, tập thể dục, chơi cầu lông, bóng đá, bóng chuyền hơi; nhà sinh hoạt cộng đồng, câu lạc bộ bóng bàn (tầng 2); bể bơi, phòng gym, yoga (tầng 5 tòa CT4); trung tâm thương mại (CT3); siêu thị Đức Thành (CT1); * Hạ tầng xã hội ngoại khu The Pride: Công viên Thiên Văn Học, trung tâm thương mại AEON Hà Đông, khu phố ẩm thực sầm uất nhất Hà Đông - Khu ĐTM Dương Nội, trường tiểu học An Hưng, Trường trung học cơ sở Lê Qúy Đôn. Hàng xóm gần sát The Pride: Khu ĐTM Dương Nội, Parkcity, Terra, Anland, Unsilk, The Charm.",103.0,63106796.116504855,Hà Nội,Quận Hà Đông,Phường La Khê,20.95966,105.74267,6,3,3,,2,2,,1778902442732,0,1,0,1,1,0,0,0,1,1
132398158,chotot_gateway,https://www.chotot.com/132398158.htm,6000000000.0,6.0,Căn hộ/Chung cư,False,FULL NỘI THẤT -Ở NGAY-CHUNG CƯ TRẦN QUÝ KIÊN _TẦNG ĐẸP giá nhỉnh 6 tỷ,"FULL NỘI THẤT -Ở NGAY-CHUNG CƯ N02TRẦN QUÝ KIÊN _TẦNG ĐẸP giá nhỉnh 6 tỷ • Diện tích 62m², thiết kế tối ưu: khách + bếp, 3 phòng ngủ, 2 WC, ban công thoáng • Full nội thất mới đẹp, chủ tặng lại toàn bộ – xách vali về ở luôn 📍 Vị trí vàng: • Tọa lạc trung tâm quận Cầu Giấy – Trần Quý Kiên • Bao quanh là trường học, chợ, siêu thị, bệnh viện, văn phòng • Kết nối nhanh Xuân Thủy – Cầu Giấy – Nguyễn Phong Sắc 💰Phí dịch vụ rẻ • Sổ đỏ chính chủ, sử dụng lâu dài – giao dịch ngay Liên hệ xem nhà: ☎️ ***",62.0,96774193.5483871,Hà Nội,Quận Cầu Giấy,Phường Dịch Vọng,21.038416,105.79274,6,3,2,,,,,1778902320835,1,1,0,0,1,0,0,1,0,1
132416506,chotot_gateway,https://www.chotot.com/132416506.htm,7800000000.0,7.8,Căn hộ/Chung cư,False,"Bán căn hộ 73,05m2 tại dự án Động Lực Tower - 130 Hạ Đình","ĐỘNG LỰC TOWER CHUẨN MỰC SỐNG MỚI TẠI TRUNG TÂM HẠ ĐÌNH Vị trí vàng: 130 Hạ Đình, Thanh Xuân, Hà Nội Tên dự án: Động Lực Tower Quy mô: 24 tầng nổi 3 tầng hầm Tổng số căn hộ: 156 căn cao cấp Pháp lý: Sở hữu lâu dài. VỊ TRÍ TRUNG TÂM KẾT NỐI HOÀN HẢO Tọa lạc ngay lõi dân cư Hạ Đình khu vực phát triển mạnh của quận Thanh Xuân, dự án sở hữu lợi thế: Kết nối nhanh Nguyễn Trãi Ngã Tư Sở Vành đai 3 Gần trường học, bệnh viện, trung tâm thương mại Khu dân trí cao, an ninh đảm bảo",73.05,106776180.69815196,Hà Nội,Quận Thanh Xuân,Phường Thanh Xuân Trung,20.99176,105.80817,5,2,2,24,,1,,1778902236000,0,0,0,0,0,0,1,1,0,1
131595829,chotot_gateway,https://www.chotot.com/131595829.htm,4100000000.0,4.1,Căn hộ/Chung cư,False,Bán căn hộ 2n1 55m giá 4.1 tỷ tại Vinhomes Smartcity,"Tôi cần bán gấp căn hộ 2n1 55m full nội thất đẹp tại Smartcity Nhà ngay gần bể bơi, trường học, bệnh viện, nhà để xe, siêu thị,... liên hệ ***",55.0,74545454.54545455,Hà Nội,Quận Nam Từ Liêm,Phường Tây Mỗ,21.01006,105.7404,,2,,,,,,1778901940000,1,0,0,0,0,0,0,0,0,0
132365780,chotot_gateway,https://www.chotot.com/132365780.htm,4790000000.0,4.79,Căn hộ/Chung cư,False,Căn hộ 2PN+2VS FLC garden City Đại Mỗ,"Chính chủ bán căn hộ tầng cao Căn hộ chung cư 2 phòng ngủ + 2 WC = 65m2 - Mở rộng không gian phòng khách. Chia riêng không gian sảnh tủ giày và bếp. Có vách ngăn di động. - Phòng ngủ mở sử dụng giường gấp có vách ngăn di động kết hợp phòng khách không gian cực rộng tràn ngập ánh sáng (mặt bằng cũ của CĐT hơi xấu :D ) -Tầng có trần cao nhất. Đã nâng trần thạch cao lắp được đèn chùm quạt trần siêu mát, Trần bê tông cao 3.8. Có thể cải tạo phòng khủ master hoặc phòng ngủ phụ thành gác xép kiểu DUPLEX - Phòng master rộng 14.2m2 + WC 3.6m2 - Nội thất + thiết bị gia dụng (điều hòa máy giặt + bếp ....) đầy đủ, chỉ việc về ở ko cần sắm gì thêm - Sẵn sổ hồng dễ dàng vay NH - Có thương lượng",65.0,73692307.6923077,Hà Nội,Quận Nam Từ Liêm,Phường Đại Mỗ,20.99151,105.7629,6,2,2,,2,2,,1778901184000,0,0,0,0,1,0,1,0,0,0
